name,fy,fp,net_income,revenue,revenue_yoy,revenue_qoq,profit_margin
1347 CAPITAL CORP,2015.0,FY,-189755.0,,,,
"1347 PROPERTY INSURANCE HOLDINGS, INC.",2015.0,FY,3646000.0,18965000.0,,,0.19224887951489586
1PM INDUSTRIES,2015.0,Q3,-880.0,16931.0,,,-0.05197566593821983
"1ST CENTURY BANCSHARES, INC.",2015.0,FY,2361000.0,,,,
1ST CONSTITUTION BANCORP,2015.0,FY,642000.0,,,,
1ST FRANKLIN FINANCIAL CORP,2015.0,FY,34407761.0,,,,
1ST SOURCE CORP,2015.0,FY,54958000.0,,,,
"21ST CENTURY ONCOLOGY HOLDINGS, INC.",2015.0,Q3,-87377000.0,,,,
"22ND CENTURY GROUP, INC.",2015.0,FY,-26153158.0,7278383.0,,,-3.593264877652083
"2U, INC.",2015.0,FY,-27953000.0,,,,
"30DC, INC.",2016.0,Q1,31680.0,603244.0,,,0.052516063151892105
"30DC, INC.",2016.0,Q2,-218693.0,49583.0,,-0.9178060618920371,-4.410644777443882
"3D MAKERJET, INC.",2016.0,Q2,,25868.0,,,
3D SYSTEMS CORP,2015.0,FY,44107000.0,,,,
3DICON CORP,2015.0,FY,-1253704.0,85748.0,,,-14.620795820310677
3M CO,2015.0,FY,4659000000.0,,,,
"3PEA INTERNATIONAL, INC.",2015.0,FY,2610484.0,10293180.0,,,0.2536129748046765
3POWER ENERGY GROUP INC.,2015.0,Q3,-426479.0,0.0,,,-inf
4NET SOFTWARE INC,2015.0,FY,-42488.0,,,,
4NET SOFTWARE INC,2016.0,Q1,-7681.0,,,,
"51JOB, INC.",2015.0,FY,500640000.0,,,,
"5BARZ INTERNATIONAL, INC.",2015.0,Q3,-2374192.0,,,,
5V INC.,2015.0,FY,-48243.0,,,,
5V INC.,2016.0,Q1,-18742.0,,,,
8POINT3 ENERGY PARTNERS LP,2015.0,FY,0.0,24489000.0,,,0.0
8X8 INC /DE/,2015.0,Q3,444000.0,41372000.0,,,0.010731895968287731
A&C UNITED AGRICULTURE DEVELOPING INC.,2015.0,FY,-183326.0,613368.0,,,-0.2988841935021064
A&C UNITED AGRICULTURE DEVELOPING INC.,2016.0,Q1,-22201.0,240000.0,,-0.6087177681261494,-0.09250416666666667
A. H. BELO CORP,2015.0,FY,16119000.0,,,,
"A10 NETWORKS, INC.",2015.0,FY,-27096000.0,,,,
"AAC HOLDINGS, INC.",2015.0,FY,786000.0,,,,
AAON INC,2015.0,FY,37547000.0,,,,
AAR CORP,2016.0,Q3,-34500000.0,,,,
AARON'S INC,2015.0,FY,120666000.0,,,,
ABAXIS INC,2015.0,Q3,5885000.0,,,,
ABB LTD,2015.0,FY,,41848000000.0,,,
ABBOTT LABORATORIES,2015.0,FY,2576000000.0,,,,
ABEONA THERAPEUTICS INC.,2015.0,FY,-26778000.0,,,,
ABERCROMBIE & FITCH CO /DE/,2015.0,FY,54628000.0,,,,
ABIOMED INC,2015.0,Q3,12684000.0,62005000.0,,,0.20456414805257642
ABM INDUSTRIES INC /DE/,2016.0,Q1,17700000.0,,,,
ABRAXAS PETROLEUM CORP,2015.0,FY,38647000.0,92324000.0,,,0.41860188033447426
"ABTECH HOLDINGS, INC.",2015.0,FY,-5844487.0,75258.0,,,-77.65934518589386
"ABV CONSULTING, INC.",2015.0,FY,-54527.0,,,,
"ACACIA DIVERSIFIED HOLDINGS, INC.",2015.0,FY,-151650.0,0.0,,,-inf
ACACIA RESEARCH CORP,2015.0,FY,-56434000.0,,,,
"ACADIA HEALTHCARE COMPANY, INC.",2015.0,FY,42579000.0,,,,
ACADIA PHARMACEUTICALS INC,2015.0,FY,-37948000.0,1145000.0,,,-33.14235807860262
"ACCELERATE DIAGNOSTICS, INC",2015.0,FY,-15282000.0,,,,
ACCELERIZE INC.,2015.0,FY,-3253255.0,16460030.0,,,-0.1976457515569534
ACCELERON PHARMA INC,2015.0,FY,-21898000.0,57230000.0,,,-0.3826314869823519
